date,datetime,total_donors,total_amount,start
2016-01-01,"Fri, 01 Jan 2016 05:00:04 GMT",4729,478123.95,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:01:06 GMT",4729,478123.95,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:02:06 GMT",4729,478123.95,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:03:07 GMT",4734,479354.36,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:04:08 GMT",4734,479354.36,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:05:08 GMT",4734,479354.36,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:06:09 GMT",4735,479379.36,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:07:10 GMT",4736,479404.36,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:08:10 GMT",4736,479404.36,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:09:11 GMT",4738,479449.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:10:11 GMT",4738,479449.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:11:12 GMT",4738,479449.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:12:13 GMT",4738,479449.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:13:13 GMT",4738,479449.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:14:14 GMT",4738,479449.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:15:15 GMT",4738,479449.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:16:15 GMT",4738,479449.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:17:16 GMT",4739,479549.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:18:17 GMT",4740,479564.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:19:17 GMT",4740,479564.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:20:18 GMT",4740,479564.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:21:19 GMT",4740,479564.52,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:22:19 GMT",4745,479744.68,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:23:20 GMT",4747,480344.68,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:24:20 GMT",4747,480344.68,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:25:21 GMT",4749,480389.83999999997,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:26:22 GMT",4750,480410,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:27:22 GMT",4752,480470,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:28:23 GMT",4754,480515.16000000003,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:29:23 GMT",4755,480535.32,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:30:24 GMT",4757,480580.48,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:31:25 GMT",4757,480580.48,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:32:25 GMT",4757,480580.48,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:33:29 GMT",4760,480650.64,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:34:30 GMT",4761,480675.64,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:35:30 GMT",4761,480675.64,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:36:31 GMT",4761,480675.64,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:37:32 GMT",4765,480770.83999999997,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:38:32 GMT",4765,480770.83999999997,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:39:33 GMT",4765,480770.83999999997,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:40:34 GMT",4767,480785.83999999997,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:41:35 GMT",4768,480790.83999999997,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:42:35 GMT",4768,480790.83999999997,2015-12-26 00:00:00
2016-01-01,"Fri, 01 Jan 2016 05:43:36 GMT",4768,480790.83999999997,2015-12-26 00:00:00
